,Name,emotion,url
0,SG워너비 (SG WANNABE) - Timeless MV.wav,0,https://www.youtube.com/embed/0pLa8NyS4Es
1,SG WANNA BE (SG워너비) - 라라라 (Ver.2) MV.wav,1,https://www.youtube.com/embed/hPoRgIzXm5o
2,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV.wav,0,https://www.youtube.com/embed/XsX3ATc3FbA
3,Conan Gray - Maniac (Official Video).wav,1,https://www.youtube.com/embed/-E-_IRJU5w0
4,폴킴 (Paul Kim) - 모든 날  모든 순간 (Every Day  Every Moment) [Lyric Video].wav,0,https://www.youtube.com/embed/1q_t6RNuH8c
5,AKMU - '어떻게 이별까지 사랑하겠어  널 사랑하는 거지(How can I love the heartbreak  you`re the one I love)' M_V.wav,1,https://www.youtube.com/embed/m3DZsBw5bnE
6,[MV] HIGH4  IU(하이포  아이유) _ Not Spring  Love  or Cherry Blossoms(봄 사랑 벚꽃 말고).wav,0,https://www.youtube.com/embed/ouR4nn1G9r4
7,Maroon 5 - Memories (Lyric Video).wav,1,https://www.youtube.com/embed/OYrTO7slaAE
8,마크툽 (MAKTUB) - 오늘도 빛나는 너에게(To You My Light)(Feat.이라온) Lyrics Video.wav,0,https://www.youtube.com/embed/dmSUBdk4SY4
9,[MV] Paul Kim(폴킴) _ Me After You(너를 만나).wav,1,https://www.youtube.com/embed/YBzJ0jmHv-4
10,[멜로가 체질 OST Part 3] 장범준 (Beom June Jang) - 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 MV.wav,0,https://www.youtube.com/embed/YBEUXfT7_48
11,폴킴 (Paul Kim) - 안녕 [Lyric Video].wav,1,https://www.youtube.com/embed/eQN_5Q_gjAU
12,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO).wav,0,https://www.youtube.com/embed/q0hyYWKXF0Q
13,[MV] Gaho - Start Over [ITAEWON CLASS OST Part.2].wav,1,https://www.youtube.com/embed/6LDg0YGYVw4
14,Anne-Marie - 2002 [Official Video].wav,0,https://www.youtube.com/embed/Il-an3K9pjg
15,IU (아이유) - I Give You My Heart 마음을 드려요 (Crash Landing on You OST Part 11) Lyrics (Han_Rom_Eng_가사).wav,1,https://www.youtube.com/embed/dqsAY-BCs_0
16,BTS (방탄소년단) '봄날 (Spring Day)' Official MV.wav,0,https://www.youtube.com/embed/xEeFrLSkMm8
17,Lauv - Paris in the Rain [Official Video].wav,1,https://www.youtube.com/embed/kOCkne-Bku4
18,Lim Young Woong Direct Cam LIVE [Trust In Me Now].wav,0,https://www.youtube.com/embed/JhtdEZxILz4
19,[MV] GyeongseoYeji(경서예지) _ Actually.. I miss you(사실 나는).wav,1,https://www.youtube.com/embed/YJInKpVsBQA
20,순순희 SoonSoonHee - 서면역에서 seomyun Official M_V.wav,0,https://www.youtube.com/embed/Izl5vXDTevY
21,[MV] Jeon Sang Keun(전상근) _ Love is(사랑은 지날수록 더욱 선명하게 남아).wav,1,https://www.youtube.com/embed/f60RrwBJMNY
22,BLOO - Downtown Baby [Official Music Video].wav,0,https://www.youtube.com/embed/P07XG1P0ums
23,[MV] Sin Ye Young(신예영) _ why break up(우리 왜 헤어져야 해).wav,1,https://www.youtube.com/embed/75p4jyMXOKc
